BROKERTITLE,TYPE,PRICE,BEDS,BATH,ADDRESS,STATE,LOCALITY,SUBLOCALITY,STREET_NAME
Brokered by RE MAX Elite,Multi-family home for sale,1495000,3,6,2024 Bay Ridge Ave,"Brooklyn, NY 11204",New York,Kings County,Brooklyn
Brokered by Corcoran Park Avenue South,Multi-family home for sale,2375000,4,4,679 18th St,"Brooklyn, NY 11218",New York,Kings County,Brooklyn
Brokered by Elite Home Sales Inc,House for sale,1248000,4,2,3007 Avenue S,"Brooklyn, NY 11229",United States,New York,Kings County
"Brokered by Ll Real Estate Services, Llc",Co-op for sale,399000,1,1,4489 Broadway Apt 5B,"New York, NY 10040",New York County,New York,Manhattan
Brokered by Industrie Residential,Co-op for sale,4895000,4,2,35 E 12th St Unit 2AB,"New York, NY 10003",New York County,New York,Manhattan
Brokered by Brown Harris Stevens - 445 Park Avenue,Co-op for sale,475000,3,1,535 E 72nd St Apt 5B,"Manhattan, NY 10021",New York County,New York,Manhattan
Brokered by Corcoran East Side,Co-op for sale,11175000,4,6,1228 Madison Ave Apt 10,"New York, NY 10128",New York County,New York,Manhattan
Brokered by Douglas Elliman - 1995 Broadway,Pending,1295000,1,1,55 Central Park W Apt 12B,"New York, NY 10023",New York County,New York,Manhattan
Brokered by Sotheby's International Realty - East Side Manhattan Brokerage,Co-op for sale,825000,2,2,150 W 55th St # 6C,"New York, NY 10019",New York County,New York,Manhattan
Brokered by Madison Estates Sotheby's International Realty,Multi-family home for sale,1849000,6,3,219 16th St,"Brooklyn, NY 11215",New York,Kings County,Brooklyn
Brokered by Corcoran Chelsea/Flatiron,Co-op for sale,699000,1,1,12 W 72nd St Apt 7H,"New York, NY 10023",New York County,New York,Manhattan
Brokered by COMPASS,Pending,420000,1,1,18 E 63rd St Apt 9,"Manhattan, NY 10065",New York County,New York,Manhattan
Brokered by RE/MAX Town & Country,Condo for sale,320000,2,1,1705 Purdy St Apt 9G,"Bronx, NY 10462",Bronx County,The Bronx,Parkchester
Brokered by COMPASS,Co-op for sale,525000,1,1,1160 3rd Ave Apt 3D,"Manhattan, NY 10065",New York County,New York,Manhattan
Brokered by Brown Harris Stevens - 445 Park Avenue,Co-op for sale,650000,2,2,435 E 57th St Apt 11C,"Manhattan, NY 10022",New York County,New York,Manhattan
Brokered by Corcoran East Side,Co-op for sale,1650000,1,1,170 E 78th St Apt 3C,"New York, NY 10075",New York County,New York,Manhattan
"Brokered by Nest Seekers International, Long Island",Co-op for sale,1425000,2,2,340 E 80th St Apt 17D,"New York, NY 10075",New York County,New York,Manhattan
Brokered by Century Homes Realty Group LLC,Condo for sale,418000,1,1,120-17 Cove Ct Unit 91B,"College Point, NY 11356",Queens County,Queens,College Point
Brokered by 5 Boro Realty Corp,Multi-family home for sale,1399000,8,6,1238 E 72nd St,"Brooklyn, NY 11234",New York,Kings County,Brooklyn
"Brokered by Robert DeFalco Realty, Inc.",House for sale,339000,2,1,31 Center Pl,"Staten Island, NY 10306",New York,Richmond County,Staten Island
Brokered by UNITED NATIONAL REALTY,Pending,599900,6,4,268 Westervelt Ave,"Staten Island, NY 10301",New York,Richmond County,Staten Island
Brokered by Corcoran Park Slope,Co-op for sale,400000,1,1,21-55 34th Ave Apt 15B,"Queens, NY 11106",Queens County,Queens,Astoria
Brokered by qvtopservice,House for sale,699000,3,1,188-28 114th Dr,"Saint Albans, NY 11412",New York,Queens County,Queens
Brokered by Martini Real Estate - Martini Real Estate,Condo for sale,1325000,2,2,40 W 55th St Apt 8D,"New York, NY 10019",New York County,New York,Manhattan
Brokered by COMPASS,Condo for sale,1750000,6,3,1184 Nostrand Ave,"Brooklyn, NY 11225",New York,Kings County,Brooklyn
Brokered by Awaye Realty,Multi-family home for sale,2100000,3,3,155 W 9th St,"Brooklyn, NY 11231",New York,Kings County,Brooklyn
Brokered by Douglas Elliman - Bayside,Co-op for sale,205900,1,1,125-10 Queens Blvd Unit 821,"Kew Gardens, NY 11415",Queens County,The Bronx,Kew Gardens
"Brokered by Behfar Team, Llc",Co-op for sale,265000,1,1,1250 Ocean Pkwy Apt 2C,"Brooklyn, NY 11230",Kings County,Brooklyn,Midwood
Brokered by Douglas Elliman - Merrick,Co-op for sale,169999,1,1,153-25 88th St Unit 2F,"Howard Beach, NY 11414",Queens County,Queens,Howard Beach
Brokered by Keller Williams Realty NYC Grp,House for sale,775000,3,1,1217 Fairfax Ave,"Bronx, NY 10465",New York,Bronx County,The Bronx
Brokered by RE MAX Real Estate Professionals,House for sale,685000,4,2,263 Richmond Hill Rd,"Staten Island, NY 10314",New York,Richmond County,Staten Island
Brokered by Accomplish Realty Llc,Multi-family home for sale,1245000,7,6,32-13 112th St,"East Elmhurst, NY 11369",New York,Queens County,Queens
Brokered by Sotheby's International Realty - Downtown Manhattan,Co-op for sale,795000,1,1,363 E 76th St Apt 14M,"New York, NY 10021",New York County,New York,Manhattan
Brokered by The Bouklis Group - The Bouklis Group Astoria,Condo for sale,445000,3,1,25-74 34th St Unit 1C,"Astoria, NY 11103",Queens County,Queens,Long Island City
Brokered by CENTURY 21 Homefront,Co-op for sale,399000,2,1,464 Neptune Ave Apt 2C,"Brooklyn, NY 11224",Kings County,Brooklyn,Coney Island
Brokered by Excellent Realty Llc,Multi-family home for sale,1990000,6,5,204-18 46 Ave,"Bayside, NY 11361",New York,Queens County,Queens
Brokered by Brown Harris Stevens,Co-op for sale,529000,2,1,100 Overlook Terrace Ter Unit 312,"Manhattan, NY 10040",New York County,New York,Manhattan
Brokered by Corcoran West Side,Co-op for sale,7500000,6,6,1045 Park Ave # 10AB,"New York, NY 10028",New York County,New York,Manhattan
Brokered by Corcoran Chelsea/Flatiron,Co-op for sale,595000,1,1,160 Cabrini Blvd Apt 73,"New York, NY 10033",New York County,New York,Manhattan
Brokered by Douglas Elliman - 664 Fulton,Co-op for sale,525000,3,2,458 Neptune Ave Apt 3R,"Brooklyn, NY 11224",Kings County,Brooklyn,Coney Island
Brokered by USREALTY   .com,Co-op for sale,479000,2,1,2932 W 5th St Apt 17C,"Brooklyn, NY 11224",Kings County,Brooklyn,Coney Island
Brokered by Brown Harris Stevens - 1926 Broadway,Co-op for sale,4995000,4,4,485 Park Avenue Ave Unit 11FLR,"Manhattan, NY 10022",New York,New York County,New York
Brokered by COMPASS,Co-op for sale,460000,2,1,151 W 106th St Apt 5B,"Manhattan, NY 10025",New York County,New York,Manhattan
Brokered by Ivey North Llc,House for sale,1200000,4,2,46-36 206 St,"Bayside, NY 11361",New York,Queens County,Queens
Brokered by Sotheby's International Realty - East Side Manhattan Brokerage,Condo for sale,5950000,2,2,173 Perry St # 8N,"New York, NY 10014",New York County,New York,Manhattan
Brokered by COMPASS,Condo for sale,599000,1,1,333 E 109th St Apt 2A,"Manhattan, NY 10029",New York County,New York,Manhattan
Brokered by COMPASS,Co-op for sale,350000,3,1,155 E 49th St Unit 5F,"Manhattan, NY 10017",New York County,New York,Manhattan
Brokered by Oxford Property Group,Condo for sale,420000,1,1,120 Ocean View Ave Unit 2C,"Brooklyn, NY 11235",Kings County,Brooklyn,Brighton Beach
Brokered by Corcoran Park Avenue South,Co-op for sale,2199000,2,2,565 W End Ave Apt 11D,"New York, NY 10024",New York County,New York,Manhattan
Brokered by Brown Harris Stevens - 130 Fifth Avenue,Co-op for sale,595000,1,1,425 E 51st St Apt 2G,"Manhattan, NY 10022",New York County,New York,Manhattan
Brokered by KORR REALTY,Co-op for sale,249000,2,1,2465 Haring St Apt 4D,"Brooklyn, NY 11235",Kings County,Brooklyn,Sheepshead Bay
Brokered by COMPASS,Condo for sale,11000000,4,4,177 9th Ave Ph A,"Manhattan, NY 10011",New York,New York County,New York
Brokered by Corcoran Chelsea/Flatiron,Co-op for sale,585000,1,1,900 W 190th St Apt 14S,"New York, NY 10040",New York County,New York,Manhattan
Brokered by P R O Links Realty Inc,Multi-family home for sale,1180000,8,4,1246 Stratford Ave,"Bronx, NY 10472",New York,Bronx County,The Bronx
Brokered by Coldwell Banker Signature Prop,Co-op for sale,115000,3,1,306 E Mosholu Pkwy S Apt 5C,"Bronx, NY 10458",Bronx County,The Bronx,West Bronx
Brokered by Brown Harris Stevens,Condo for sale,779000,1,1,250 E 30th St Apt 6B,"Manhattan, NY 10016",New York County,New York,Manhattan
Brokered by RE MAX Edge,Multi-family home for sale,1850000,12,7,715 55th St,"Brooklyn, NY 11220",New York,Kings County,Brooklyn
Brokered by Dom Realty of NY Inc,Townhouse for sale,925000,3,2,69-33 169 St,"Fresh Meadows, NY 11365",New York,Queens County,Queens
Brokered by COMPASS,Pending,360000,1,1,425 E 78th St Apt 1C,"Manhattan, NY 10075",New York County,New York,Manhattan
Brokered by COMPASS,Co-op for sale,2750000,2,2,200 Central Park S Apt 20J,"Manhattan, NY 10019",New York County,New York,Manhattan
Brokered by Brown Harris Stevens,Co-op for sale,1450000,4,2,135 E 39th St Unit 1CD,"Manhattan, NY 10016",New York County,New York,Manhattan
Brokered by Keller Williams NYC,Townhouse for sale,3400000,5,4,218 W 139th St Unit Th,"New York, NY 10030",New York,New York County,New York
Brokered by B Square Realty,Co-op for sale,329000,2,1,23-55 Bell Blvd Unit 4D,"Bayside, NY 11360",Queens County,Queens,Bayside
Brokered by Homefinders of SI Inc.,House for sale,699000,3,2,402 Grandview Ave,"Staten Island, NY 10303",New York,Richmond County,Staten Island
Brokered by Monticello Real Estate Group,Multi-family home for sale,1075000,7,3,198 Cooper St,"Brooklyn, NY 11207",New York,Kings County,Brooklyn
Brokered by Houlihan Lawrence Inc.,Multi-family home for sale,790000,4,3,1845 Tomlinson Ave,"Bronx, NY 10461",New York,Bronx County,The Bronx
Brokered by Serhant,Condo for sale,7750000,5,6,50 Bridge Park Dr Unit 17AE,"Brooklyn, NY 11201",Kings County,Brooklyn,Brooklyn Heights
Brokered by Serhant,Townhouse for sale,19995000,6,8,80 Washington Pl,"New York, NY 10011",New York,New York County,New York
Brokered by Sotheby's International Realty - East Side Manhattan Brokerage,Co-op for sale,3375000,3,3,1165 Fifth Ave # 8C,"New York, NY 10029",New York County,New York,Manhattan
Brokered by Corcoran West Side Gallery,Co-op for sale,3150000,4,3,101 W 81st St # 615/616,"New York, NY 10024",New York,New York County,New York
Brokered by Brown Harris Stevens - 445 Park Avenue,Co-op for sale,15000000,4,6,820 Fifth Ave Unit Maisonette,"Manhattan, NY 10065",New York,New York County,New York
Brokered by Douglas Elliman - 575 Madison Ave,Co-op for sale,3150000,4,4,870 Fifth Ave Unit 4H,"New York, NY 10065",New York County,New York,Manhattan
Brokered by Douglas Elliman - Bayside,Pending,825000,2,1,33-11 73rd St,"Jackson Heights, NY 11372",New York,Queens County,Queens
NoBroker,House for sale,899000,2,2,1595 Independence Ave,"Brooklyn, NY 11228",New York,Kings County,Brooklyn
Brokered by COMPASS,Condo for sale,795000,1,1,350 E 62nd St Apt 3B,"Manhattan, NY 10065",New York County,New York,Manhattan
Brokered by RE MAX Real Estate Professionals,Co-op for sale,275000,1,1,275 Webster Ave Apt 5A,"Brooklyn, NY 11230",Kings County,Brooklyn,Kensington
Brokered by RE MAX Distinguished Homes & Properties,Multi-family home for sale,775000,6,2,1989 Cruger Ave,"Bronx, NY 10462",New York,Bronx County,The Bronx
Brokered by Douglas Elliman - 575 Madison Ave,House for sale,2150000,2,2,300 E 40th St Apt 28B,"New York, NY 10016",New York County,New York,Manhattan
Brokered by Amorelli Realty LLC,House for sale,899000,3,1,32-50 53 Pl,"Woodside, NY 11377",New York,Queens County,Queens
Brokered by Call It Home Realty LLC,House for sale,699000,5,4,2845 Decatur Ave,"Bronx, NY 10458",New York,Bronx County,The Bronx
Brokered by Promise Realty LLC,Multi-family home for sale,904000,4,3,158-20 77 Ave,"Fresh Meadows, NY 11366",New York,Queens County,Queens
Brokered by Parkside Realty Of Queens Inc,House for sale,669000,3,1,91-09 95th St,"Woodhaven, NY 11421",New York,Queens County,Queens
Brokered by E Z Sell Realty,Co-op for sale,279000,1,1,99-05 63rd Dr Unit 14U,"Rego Park, NY 11374",Queens County,Queens,Rego Park
Brokered by NEXTHOME PLATINUM PROPERTIES,Co-op for sale,330000,1,1,17-85 215th St Unit 6K,"Bayside, NY 11360",Queens County,Queens,Flushing
"Brokered by CLAS - Classic Marketing, LLC",Co-op for sale,399000,3,1,220 E 73rd St Unit 8G,"New York, NY 10021",New York County,New York,Manhattan
Brokered by Corcoran East Side,Co-op for sale,740000,2,1,609 Columbus Ave Apt 18D,"New York, NY 10024",New York County,New York,Manhattan
Brokered by Macaluso Realty,House for sale,590000,5,3,665 Nasby Pl,"Far Rockaway, NY 11691",New York,Queens County,Queens
Brokered by Coordinate,House for sale,1250000,3,2,134 E 35th St,"Brooklyn, NY 11203",New York,Kings County,Brooklyn
Brokered by COMPASS,Co-op for sale,975000,2,2,158-18 Riverside Dr W Unit 2E,"Manhattan, NY 10032",New York County,New York,Manhattan
Brokered by Corcoran East Side,Condo for sale,849000,3,2,8 W 65th St Apt 1B,"New York, NY 10023",New York County,New York,Manhattan
Brokered by Corcoran Brooklyn Heights,House for sale,1699000,3,2,93 Lexington Ave # 4,"Brooklyn, NY 11238",New York,Kings County,Brooklyn
Brokered by Corcoran West Side,Co-op for sale,1195000,2,2,444 E 84th St # 3GH,"New York, NY 10028",New York County,New York,Manhattan
Brokered by Keller Williams Realty Greater Nassau,Co-op for sale,190000,3,1,175-20 Wexford Ter Unit 8W,"Jamaica, NY 11432",Queens County,Queens,Jamaica
Brokered by Coldwell Banker Warburg,Co-op for sale,405000,3,1,345 E 81st St Apt 2H,"New York, NY 10028",New York County,New York,Manhattan
Brokered by Tudor Realty Services Corp. - Tudor Realty Services Corp.,Co-op for sale,169500,1,1,2080-2090 Barnes Ave Unit 5D,"Bronx, NY 10462",Bronx County,The Bronx,East Bronx
Brokered by RE MAX Edge,Multi-family home for sale,950000,5,2,3025 Brighton 8th St,"Brooklyn, NY 11235",New York,Kings County,Brooklyn
Brokered by Leven Real Estate - Head Office,Condo for sale,800000,3,1,15 Broad St Apt 1928,"New York, NY 10005",New York,New York County,New York
Brokered by Brooklyn Real Property Inc,Condo for sale,359000,2,1,190 Cozine Ave Apt 3H,"Brooklyn, NY 11207",Kings County,Brooklyn,East New York
Brokered by Coldwell Banker Warburg,Co-op for sale,1950000,2,3,860 Fifth Ave Unit 4H,"New York, NY 10065",New York County,New York,Manhattan
Brokered by BRPI - Brooklyn Real Property,Townhouse for sale,999000,7,4,524 Wyona St,"Brooklyn, NY 11207",New York,Kings County,Brooklyn
Brokered by Corcoran Chelsea/Flatiron,Co-op for sale,1950000,2,2,791 Greenwich St Apt 5,"New York, NY 10014",New York County,New York,Manhattan
Brokered by E Realty International Corp,Condo for sale,649000,1,1,362 W 127th St Unit 6B,"New York, NY 10027",New York County,New York,Manhattan
Brokered by Winzone Realty Inc,Condo for sale,1175000,4,2,168-46 Powells Cove Blvd Unit 21,"Whitestone, NY 11357",Queens County,Queens,Flushing
Brokered by Island Group Realty Inc,House for sale,799000,4,2,133-22 Centreville St,"Ozone Park, NY 11417",New York,Queens County,Queens
Brokered by COMPASS,Condo for sale,2950000,3,2,360 Furman St Apt 337,"Brooklyn, NY 11201",Kings County,Brooklyn,Brooklyn Heights
NoBroker,Condo for sale,358000,3,1,150-38 Union Tpke Unit 11B,"Flushing, NY 11367",Queens County,Queens,Flushing
Brokered by Charles Rutenberg Realty Inc,Co-op for sale,189999,1,1,83-55 Lefferts Blvd Unit 5C,"Kew Gardens, NY 11415",Queens County,Queens,Jamaica
NoBroker,Condo for sale,760000,1,1,414 W 54th St Apt 4E,"New York, NY 10019",New York County,New York,Manhattan
Brokered by Exp Realty,Multi-family home for sale,675999,3,2,2067 Pitman Ave,"Bronx, NY 10466",New York,Bronx County,The Bronx
Brokered by One Realty Global Corp,Condo for sale,380000,3,1,1548 72nd St Unit 1,"Brooklyn, NY 11228",Kings County,Brooklyn,Bensonhurst
Brokered by East Coast Realty Partners,Co-op for sale,379000,2,1,98-20 62 Dr Unit 14H,"Rego Park, NY 11374",Queens County,Queens,Rego Park
Brokered by Coldwell Banker Warburg,Co-op for sale,995000,2,2,164 E 72nd St Apt 13C,"New York, NY 10021",New York County,New York,Manhattan
Brokered by BERGEN BASIN REALTY,Condo for sale,649000,3,2,1120 Bergen Ave Unit 88,"Brooklyn, NY 11234",Kings County,Brooklyn,Bergen Beach
Brokered by RE MAX Edge,Condo for sale,475000,1,1,3016 Brighton 5th St Apt 1C,"Brooklyn, NY 11235",Kings County,Brooklyn,Brighton Beach
Brokered by Keller Williams Legendary,Pending,450000,2,1,37-26 87th St Unit 2F,"Jackson Heights, NY 11372",Queens County,Queens,Jackson Heights
Brokered by RE MAX Real Estate Professionals,Multi-family home for sale,1799000,11,6,7619 21st Ave,"Brooklyn, NY 11214",New York,Kings County,Brooklyn
Brokered by TREBACH REALTY INC,House for sale,1500000,8,5,3251 Riverdale Ave,"Bronx, NY 10463",New York,Bronx County,The Bronx
Brokered by Corcoran West Side Gallery,Condo for sale,3995000,3,4,360 E 88th St Ph 2B,"New York, NY 10128",New York,Manhattan,East 88th Street
"Brokered by Garfield, Leslie J. & Co., Inc.",Townhouse for sale,2299000,7,6,68 E 127th St,"New York, NY 10035",New York,New York County,New York
Brokered by Corcoran,Pending,210000,1,1,135 Ocean Pkwy Apt 1R,"Kensington, NY 11218",Kings County,Brooklyn,Kensington
Brokered by Sotheby's International Realty - Downtown Manhattan,Co-op for sale,3200000,3,4,24 Central Park S # 5W,"New York, NY 10019",New York County,New York,Manhattan
Brokered by East Coast Realty Partners Llc,Co-op for sale,579000,3,2,61-15 98th St Unit 7J,"Rego Park, NY 11374",Queens County,Queens,Flushing
Brokered by Block & Lot Real Estate SVC,Condo for sale,648888,2,2,152-18 Union Tpke Unit 11D,"Flushing, NY 11367",Queens County,Queens,Flushing
Brokered by EXIT ALL SEASONS REALTY,Multi-family home for sale,989000,7,5,79-09 153rd Ave,"Howard Beach, NY 11414",New York,Queens County,Queens
Brokered by COMPASS,Co-op for sale,995000,1,1,250 W 22nd St Apt 4B,"Manhattan, NY 10011",New York County,New York,Manhattan
Brokered by Joe Hasselt Real Estate,Co-op for sale,154900,1,1,3 Fordham Hill Oval Apt 4A,"Bronx, NY 10468",Bronx County,The Bronx,Fordham Manor
Brokered by RE/MAX Edge,Condo for sale,399000,1,1,231 68th St Apt 303,"Brooklyn, NY 11220",Kings County,Brooklyn,Bay Ridge
NoBroker,Condo for sale,589000,3,1,500 W 43rd St Apt 12G,"New York, NY 10036",New York County,New York,Manhattan
Brokered by Calabrese Real Estate,Pending,565000,2,2,537 Annadale Rd,"Staten Island, NY 10312",New York,Richmond County,Staten Island
Brokered by Corcoran East Side,Condo for sale,3795000,3,3,201 E 80th St Apt 16A,"New York, NY 10075",New York County,New York,Manhattan
Brokered by RE/MAX City Square,Co-op for sale,199999,3,1,110-20 71st Ave Unit 231,"Forest Hills, NY 11375",Queens County,Queens,Forest Hills
Brokered by Brown Harris Stevens - 1926 Broadway,Co-op for sale,2500000,3,2,116 W 29th St Apt 3,"Manhattan, NY 10001",New York County,New York,Manhattan
Brokered by Duradox Management,House for sale,749999,3,2,536 E 51st St,"Brooklyn, NY 11203",New York,Kings County,Brooklyn
Brokered by COMPASS,Co-op for sale,1595000,2,2,210 Riverside Dr Apt 6B,"Manhattan, NY 10025",New York County,New York,Manhattan
Brokered by New Group Realty Inc,Co-op for sale,258000,3,1,149-43 35th Ave Unit 2J,"Flushing, NY 11354",Queens County,Queens,Flushing
Brokered by Precious Properties Corp.,House for sale,685000,3,2,59 Bartlett Ave,"Staten Island, NY 10312",New York,Richmond County,Staten Island
Brokered by Perfect Properties Corp,Multi-family home for sale,599000,5,2,13-73 Beach Channel Dr,"Far Rockaway, NY 11691",New York,Queens County,Queens
Brokered by Sotheby's International Realty - Downtown Manhattan,Condo for sale,3250000,3,2,71 Ludlow St Apt 4B,"New York, NY 10002",New York County,New York,Manhattan
"Brokered by Tom Crimmins Realty, Ltd.",Condo for sale,245000,1,1,1100 Clove Rd Apt 7B,"Staten Island, NY 10301",Richmond County,Staten Island,Castleton Corners
Brokered by Ernest Chi Real Estate LLC,Co-op for sale,729000,3,2,4555 Henry Hudson Pkwy Apt 903,"Bronx, NY 10471",Bronx County,The Bronx,Riverdale
Brokered by Richard Greco Real Estate,Multi-family home for sale,779000,3,2,1760 Tomlinson Ave,"Bronx, NY 10461",New York,Bronx County,The Bronx
Brokered by eXp Realty BKNY,Condo for sale,1090000,3,3,1845 52nd St Apt 27,"Brooklyn, NY 11204",Kings County,Brooklyn,Mapleton
Brokered by Dreamlife Realty New York Llc,Co-op for sale,365000,2,1,393 Avenue S Apt 4A,"Brooklyn, NY 11223",Kings County,Brooklyn,Gravesend
Brokered by COMPASS,Pending,1099000,1,1,2 Northside Piers Apt 6F,"Brooklyn, NY 11249",Kings County,Brooklyn,Williamsburg
Brokered by Douglas Elliman - 575 Madison Ave,Townhouse for sale,12495000,4,4,44 E 82nd St,"New York, NY 10028",New York,New York County,New York
Brokered by UbiQ NY Ltd,Condo for sale,1990000,2,2,124 W 24th St Apt 2D,"New York, NY 10011",New York County,New York,Manhattan
Brokered by Exp Realty,Multi-family home for sale,1200000,6,4,4036 Bell Ave,"Bronx, NY 10466",New York,Bronx County,The Bronx
Brokered by Reliable Sell & Buy Realty Inc,Co-op for sale,473000,2,1,150 W End Ave Apt 5H,"Brooklyn, NY 11235",Kings County,Brooklyn,Manhattan Beach
Brokered by COMPASS,Co-op for sale,2348000,3,4,860 United Nations Plz Units 31 & 32D,"Manhattan, NY 10017",New York County,New York,Manhattan
"Brokered by CORE Group Marketing, LLC",Condo for sale,25000000,5,6,555 W 22nd St Apt 11AW,"New York, NY 10011",New York County,New York,Manhattan
Brokered by Brown Harris Stevens,Condo for sale,995000,1,1,305 Second Ave Unit 20,"Manhattan, NY 10003",New York,New York County,New York
Brokered by RE/MAX Elite,Contingent,850000,8,3,1681 Prospect Pl,"Brooklyn, NY 11233",New York,Kings County,Brooklyn
Brokered by COMPASS,Townhouse for sale,2950000,4,4,111 Nelson St,"Brooklyn, NY 11231",New York,Kings County,Brooklyn
Brokered by Jeskell Realty Llc,Co-op for sale,133000,1,1,3231 Barker Ave Unit Ld,"Bronx, NY 10467",Bronx County,The Bronx,East Bronx
Brokered by Ny Superior Realty,Multi-family home for sale,1548000,9,4,104-14 37th Ave,"Corona, NY 11368",New York,Queens County,Queens
Brokered by R New York,Contingent,468000,3,1,170 W End Ave Apt 3F,"New York, NY 10023",New York County,New York,Manhattan
Brokered by BESMATCH REAL ESTATE,Multi-family home for sale,850000,5,3,931 Tilden St,"Bronx, NY 10469",New York,Bronx County,The Bronx
Brokered by RE MAX Elite,Multi-family home for sale,995000,6,3,52 28th Ave,"Brooklyn, NY 11214",United States,New York,Kings County
Brokered by COMPASS,Co-op for sale,1850000,3,2,235 E 22nd St Apt 11S,"Manhattan, NY 10010",New York County,New York,Manhattan
"Brokered by Neuhaus Realty, Inc.",House for sale,2800000,2,1,98A-98G Discala Ln,"Staten Island, NY 10312",United States,New York,Richmond County
Brokered by COMPASS,Condo for sale,4995000,3,2,65 W 13th St Apt 10A,"Manhattan, NY 10011",New York County,New York,Manhattan
Brokered by RE/MAX Team,Co-op for sale,398800,1,1,3540 82nd St Apt 4D,"Jackson Heights, NY 11372",Queens County,Queens,Jackson Heights
Brokered by EXIT REALTY PRIME,Co-op for sale,142500,3,1,155-01 90 Ave Unit 6E,"Jamaica, NY 11432",Queens County,Queens,Jamaica
Brokered by Century 21 Realty First,House for sale,2570000,5,2,9223 Ridge Blvd,"Brooklyn, NY 11209",New York,Kings County,Brooklyn
"Brokered by Robert E. Hill, Inc.",Co-op for sale,225000,1,1,601 Pelham Pkwy N Apt 408,"Bronx, NY 10467",Bronx County,The Bronx,Allerton
Brokered by Winzone Realty Inc,Co-op for sale,345000,1,1,143-43 41 Ave Unit 4G,"Flushing, NY 11355",Queens County,Queens,Flushing
Brokered by RE MAX Edge,House for sale,875000,5,2,1646 E 54th St,"Brooklyn, NY 11234",New York,Kings County,Brooklyn
Brokered by Berkshire Hathaway,Pending,1188000,7,2,86-17 105th St,"Richmond Hill, NY 11418",New York,Queens County,Queens
Brokered by COMPASS,Co-op for sale,694000,2,1,345 Montgomery St Apt 4N,"Brooklyn, NY 11225",Kings County,Brooklyn,Crown Heights
Brokered by Douglas Elliman - 575 Madison Ave,Co-op for sale,495000,1,1,27 E 65th St Apt 2E,"New York, NY 10065",New York County,New York,Manhattan
Brokered by Corcoran Chelsea/Flatiron,Co-op for sale,649000,1,1,400 E 56th St Apt 25K,"New York, NY 10022",New York County,New York,Manhattan
Brokered by Douglas Elliman - 936 Broadway,Condo for sale,659000,2,1,39 Argyle Rd Apt 4B,"Brooklyn, NY 11218",Kings County,Brooklyn,Flatbush
"Brokered by Judy Z Etman, Realtor",Co-op for sale,429000,2,1,160 72nd St Apt 758,"Brooklyn, NY 11209",Kings County,Brooklyn,Bay Ridge
Brokered by Charles H. Greenthal Property,Pending,959000,2,2,27110 Grand Central Pkwy Apt 30O,"Floral Park, NY 11005",Queens County,Queens,Queens Village
Brokered by Keller Williams Hudson Valley United,Multi-family home for sale,1299999,12,6,213 Suydam St,"Brooklyn, NY 11237",New York,Kings County,Brooklyn
Brokered by Douglas Elliman - Bayside,Condo for sale,368000,3,1,2 Bay Club Dr Apt 21H,"Bayside, NY 11360",Queens County,Queens,Bayside
"Brokered by Homes R Us Realty of NY, Inc.",House for sale,758800,3,2,74 Appleby Ave,"Staten Island, NY 10305",New York,Richmond County,Staten Island
Brokered by Serhant,Condo for sale,1795000,2,2,180 Front St Apt 7F,"Brooklyn, NY 11201",Kings County,Brooklyn,Dumbo
Brokered by RE/MAX Team,Multi-family home for sale,1595000,5,3,41-33 68 St,"Woodside, NY 11377",New York,Queens County,Queens
Brokered by Dolly Lenz Real Estate LLC,Townhouse for sale,6500000,7,5,156 E 71st St,"New York, NY 10021",New York,New York County,New York
Brokered by CENTURY 21 Milestone Realty,Multi-family home for sale,1089000,4,3,196-11 100 Ave,"Hollis, NY 11423",New York,Queens County,Queens
Brokered by Keller Williams Rty Gold Coast,Condo for sale,735000,1,1,42-37 27th St Unit 5B,"Long Island City, NY 11101",Queens County,Queens,Long Island City
Brokered by PEERLESS PROPERTIES CORP.,Pending,559900,2,1,158-11 96th St,"Howard Beach, NY 11414",New York,Queens County,Queens
Brokered by COMPASS,Co-op for sale,350000,1,1,340 Haven Ave Apt 6A,"Manhattan, NY 10033",New York County,New York,Manhattan
Brokered by B Square Realty,Condo for sale,780000,3,3,32-05 Linden Pl Unit A3,"Flushing, NY 11354",New York,Queens County,Queens
Brokered by Goldstone N Y Realty Llc,Co-op for sale,173000,3,1,76-26 113 St Unit 1B,"Forest Hills, NY 11375",Queens County,Queens,Flushing
Brokered by Weichert Realtors Evolution Group,House for sale,995000,4,2,43 Sunnyside Ter,"Staten Island, NY 10301",New York,Richmond County,Staten Island
Brokered by Akcess24homes Inc,Multi-family home for sale,775000,4,2,147-37 230th St,"Springfield Gardens, NY 11413",New York,Queens County,Queens
Brokered by The Bouklis Group - The Bouklis Group,Condo for sale,1649000,1,1,635 W 42nd St Apt 30A,"New York, NY 10036",New York County,New York,Manhattan
Brokered by E Realty International Corp,Multi-family home for sale,1290000,5,3,44-12 65th St,"Woodside, NY 11377",New York,Queens County,Queens
Brokered by Howard Hanna | Rand Realty,House for sale,575000,3,1,920 Harding Park,"Bronx, NY 10473",New York,Bronx County,The Bronx
Brokered by Cross Country Realty,House for sale,1499000,7,6,120-47 Sunrise Ct,"College Point, NY 11356",New York,Queens County,Queens
