BROKERTITLE,TYPE,PRICE,BEDS,BATH,ADDRESS,STATE,LOCALITY,SUBLOCALITY,STREET_NAME
Brokered by Douglas Elliman - 575 Madison Ave,Co-op for sale,1150000,1,1,40 Remsen St Apt 4,"Brooklyn, NY 11201",Kings County,Brooklyn,Brooklyn Heights
Brokered by RE MAX Edge,House for sale,2399000,5,5,208 Mayfair Dr N,"Brooklyn, NY 11234",New York,Kings County,Brooklyn
Brokered by RE MAX Distinguished Homes & Properties,Multi-family home for sale,989000,8,5,855 E 223rd St,"Bronx, NY 10466",New York,Bronx County,The Bronx
Brokered by Lombardo Homes & Estates,Co-op for sale,318888,1,1,99-25 60th Ave Unit 6G,"Corona, NY 11368",Queens County,Queens,Corona
Brokered by Charles H. Greenthal Property,Co-op for sale,799000,2,2,27010 Grand Central Pkwy Apt 24K,"Floral Park, NY 11005",Queens County,Queens,Little Neck
Brokered by RE MAX Elite,Co-op for sale,489000,2,1,9201 Shore Rd Apt D509,"Brooklyn, NY 11209",Kings County,Brooklyn,Fort Hamilton
Brokered by Dorsa Group Realty,Co-op for sale,398000,2,1,181 73rd St Apt 457,"Brooklyn, NY 11209",Kings County,Brooklyn,Bay Ridge
Brokered by Grand Realty Advisors,House for sale,1190000,3,2,186 Mackenzie St,"Brooklyn, NY 11235",New York,Kings County,Brooklyn
Brokered by Avenues - Headquarters,Townhouse for sale,795000,5,2,1065 Hegeman Ave,"Brooklyn, NY 11208",New York,Kings County,Brooklyn
Brokered by Douglas Elliman - Franklin Square,Multi-family home for sale,750000,3,4,4701 Beverley Rd,"Brooklyn, NY 11203",New York,Kings County,Brooklyn
Brokered by Prospes Real Estate Corp,Condo for sale,899999,3,3,148-09 Northern Blvd Unit 5G,"Flushing, NY 11354",Queens County,Queens,Flushing
Brokered by COMPASS,Condo for sale,1325000,3,2,9511 Shore Rd Apt 503,"Brooklyn, NY 11209",Kings County,Brooklyn,Fort Hamilton
Brokered by Corcoran Brooklyn Heights,Townhouse for sale,595000,1,2,943 Saint Marks Ave Apt 1A,"Brooklyn, NY 11213",Kings County,Brooklyn,Crown Heights
Brokered by NEUHAUS REALTY INC.,Multi-family home for sale,10700000,42,43,646-662 Port Richmond Ave,"Staten Island, NY 10302",New York,Richmond County,Staten Island
Brokered by Keller Williams Realty Central Monmouth,Condo for sale,330000,1,1,215 Hart Blvd Apt 2B,"Staten Island, NY 10301",Richmond County,Staten Island,West Brighton
Brokered by COMPASS,Condo for sale,2998000,3,3,46-30 Center Blvd Ph 4,"Queens, NY 11109",New York,Queens County,Queens
Brokered by Keller Williams Realty Liberty,Co-op for sale,425000,2,1,86 Beaver St Apt 2J,"Brooklyn, NY 11206",Kings County,Brooklyn,Bushwick
Brokered by Julia B. Fee Sotheby's International Realty,Co-op for sale,345000,2,1,2711 Henry Hudson Pkwy Apt 5G,"Bronx, NY 10463",Bronx County,The Bronx,Spuyten Duyvil
NoBroker,Condo for sale,999000,2,2,133-38 Sanford Ave Unit 16D,"Flushing, NY 11355",Queens County,Queens,Flushing
Brokered by R Jaundoo Realty Llc,Co-op for sale,135000,2,1,950 Hoe Ave Apt 4C,"Bronx, NY 10459",Bronx County,The Bronx,Foxhurst
Brokered by Vylla Home,Condo for sale,261250,2,1,1017 Faile St Unit 1017B,"Bronx, NY 10459",Bronx County,The Bronx,Foxhurst
Brokered by City Realty Group,Condo for sale,728000,3,2,41-38 66th St Unit 5B,"Woodside, NY 11377",Queens County,Queens,Woodside
Brokered by Berkshire Hathaway,Pending,199000,3,2,1259 Grant Ave Apt 5H,"Bronx, NY 10456",Bronx County,The Bronx,Concourse Village
Brokered by COMPASS,Condo for sale,1950000,3,3,300 E 85th St Unit 1103/1104,"Manhattan, NY 10028",New York County,New York,Manhattan
"Brokered by Listwithfreedom.Com, Inc.",Co-op for sale,600000,2,2,736 W 186th St Apt 7G,"New York, NY 10033",New York County,New York,Manhattan
Brokered by HIGH CLASS REALTY SB LLC.,Condo for sale,569000,1,1,390 Kings Hwy Apt 5D,"Brooklyn, NY 11223",Kings County,Brooklyn,Gravesend
Brokered by COMPASS,Co-op for sale,749000,1,1,57 Thompson St Apt 2B,"Manhattan, NY 10012",New York County,New York,Manhattan
Brokered by E Realty International Corp,Multi-family home for sale,1138000,5,3,1520 63rd St,"Brooklyn, NY 11219",New York,Kings County,Brooklyn
Brokered by City Homes Realty Group Llc,Multi-family home for sale,1359000,11,6,1353 Putnam Ave,"Brooklyn, NY 11221",New York,Kings County,Brooklyn
Brokered by COMPASS,Multi-family home for sale,3720000,8,8,29 Essex St,"Manhattan, NY 10002",New York,New York County,New York
Brokered by EXIT REALTY ACHIEVE,Multi-family home for sale,974998,7,2,759 Glenmore Ave,"Brooklyn, NY 11208",New York,Kings County,Brooklyn
Brokered by COMPASS,Co-op for sale,300000,3,1,599 E 7th St Apt 4G,"Brooklyn, NY 11218",Kings County,Brooklyn,Kensington
Brokered by Getmore Realty Inc,House for sale,729000,3,3,110-36 199th St,"Saint Albans, NY 11412",New York,Queens County,Queens
Brokered by Sotheby's International Realty - East Side Manhattan Brokerage,Co-op for sale,750000,2,2,575 Park Ave # 1508,"New York, NY 10065",New York County,New York,Manhattan
Brokered by DiTommaso Real Estate,House for sale,599000,3,2,45 Bogota St,"Staten Island, NY 10314",New York,Richmond County,Staten Island
Brokered by Sotheby's International Realty - East Side Manhattan Brokerage,Townhouse for sale,11950000,6,5,27 E 73rd St,"New York, NY 10021",New York,New York County,New York
Brokered by Corcoran West Side,Co-op for sale,825000,1,2,180 E End Ave Apt 18H,"New York, NY 10128",New York County,New York,Manhattan
Brokered by Brown Harris Stevens,Co-op for sale,289000,3,1,36 Dahill Rd Apt 1L,"Brooklyn, NY 11218",Kings County,Brooklyn,Kensington
Brokered by Douglas Elliman - 575 Madison Ave,Condo for sale,4750000,4,4,116 W 14th St Fl 4,"New York, NY 10011",New York County,New York,Manhattan
Brokered by Douglas Elliman  -111 Fifth Ave,Co-op for sale,899999,2,1,224 E 11th St Apt 22,"New York, NY 10003",New York County,New York,Manhattan
Brokered by Hauseit LLC - Hauseit LLC,Townhouse for sale,868000,2,2,58-36 79th St,"Middle Village, NY 11379",New York,Queens County,Queens
Brokered by COMPASS,Condo for sale,3995000,3,3,450 W 17th St Apt 1709,"Manhattan, NY 10011",New York County,New York,Manhattan
Brokered by EXP COMMERCIAL LLC,House for sale,1500000,3,2,243 Bay 13 St,"Brooklyn, NY 11214",New York,Kings County,Brooklyn
Brokered by SOUTHSIDE REALTY GROUP LLC,House for sale,625000,4,2,1797 Troy Ave,"Brooklyn, NY 11234",New York,Kings County,Brooklyn
Brokered by COMPASS,Pending,749000,1,1,88 Charles St Apt 3D,"Manhattan, NY 10014",New York County,New York,Manhattan
Brokered by EXP Realty - HAUPPAUGE,Multi-family home for sale,749900,5,2,159 Montauk Ave,"Brooklyn, NY 11208",New York,Kings County,Brooklyn
Brokered by RE MAX Distinguished Homes & Properties,Multi-family home for sale,799000,6,4,669 E 237th St,"Bronx, NY 10466",New York,Bronx County,The Bronx
Brokered by Charles H. Greenthal Property,Co-op for sale,959000,3,4,27110 Grand Central Pkwy Apt 11V,"Floral Park, NY 11005",Queens County,Queens,Queens Village
Brokered by Mitra Hakimi Realty Group LLC,Multi-family home for sale,888000,5,3,228 E 89th St,"East Flatbush, NY 11203",New York,Kings County,Brooklyn
"Brokered by Prime Time Real Estate, Inc.",House for sale,725000,2,2,51 Bedford Ave,"Staten Island, NY 10306",New York,Richmond County,Staten Island
Brokered by Brown Harris Stevens - 445 Park Avenue,Condop for sale,1065000,2,2,215 E 96th St Unit 25C,"Manhattan, NY 10128",New York,Manhattan,East 96th Street
Brokered by Douglas Elliman - 575 Madison Ave,Townhouse for sale,19995000,7,6,14 E 81st St,"New York, NY 10028",New York,New York County,New York
Brokered by Keller Williams NYC,Condo for sale,744000,2,1,32-86 33rd St Unit D7,"Queens, NY 11106",Queens County,Queens,Astoria
Brokered by COMPASS,Pending,675000,3,0,41 Warren St Unit Subc,"Manhattan, NY 10007",New York County,New York,Manhattan
